SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"Brainstorm all the reasons why nutritional change might be difficult to achieve. Classify these as: sociocultural, environmental and commercial factors.",,,,19
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,Investigate the influence of sales and marketing techniques in nutritional choices using Food for health alliance. Draw conclusions about the influence of food companies on making nutritional improvements difficult to achieve.,,,,20
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KS,Activity,Bullet,"Discuss the statement: 'Our environment is stacked against maintaining a healthy diet'. Brainstorm a list of factors contributing to the difficulty in achieving dietary change in Australia. Determine if these factors are environmental, sociocultural or commercial.",,,,21
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"Use a lotus diagram or other graphic organiser to summarise the Australian healthcare system, including Medicare, Pharmaceutical Benefits Scheme, NDIS or Private Health Insurance.",,,,22
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"In small groups, collect images of a range of healthcare services in the local area. Determine the range of services provided and how accessible they are to the community.",,,,23
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,Access the most recent version of Australia's Health which is published by the Australian Institute of Health and Welfare every two years. Investigate how much Australia spends on health care each year and the types of services that the majority of funding is spent on. Discuss whether these services are a biomedical or social model approach.,,,,24
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"Research one of: Medicare, Pharmaceutical Benefits Scheme, NDIS or Private Health Insurance. Analyse how your aspect of the healthcare system can improve health status by considering access, funding, sustainability and equity. Present your findings to the class.",,,,25
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,Create a Double Bubble (a type of Venn diagram: use a Google 'Images' search for examples) to compare Medicare and private health insurance and identify similarities and differences. Use this information to analyse the role of Medicare and private health insurance in improving health outcomes in relation to equity.,,,,26
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"Research incentives for individuals to take out private health insurance. Discuss reasons why the Australian Government is encouraging people to have private health insurance, and how this might promote health outcomes.",,,,27
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,Activity,Bullet,"Access the National Disability Insurance Scheme (NDIS) and find the publication (click on 'Participants') My NDIS Pathway. Using this information and/or further web research, create a mind map explaining how the NDIS promotes the health of individuals with a disability. Consider its funding, ability to be sustained over time, accessibility and equity.",,,,28
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExample,Paragraph,Health promotion analysis,,,,29
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Paragraph,"In small groups, students research a significant health issue in Australia such as smoking and vaping, skin cancer, road traffic accidents or obesity and overweight, looking at current data. Students research and select a health promotion initiative in response to their chosen issue and analyse the ways in which the initiative reflects action areas of the Ottawa Charter. Students analyse how the implementation of these actions can improve health outcomes for Australians. Students share their research with the class.",,,,30
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Paragraph,The research inquiry should cover the following points:,,,,31
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Bullet,Analysis of data such as the prevalence and incidence of related health data.,,,,32
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Bullet,A specific health promotion campaign to address their chosen health issue.,,,,33
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Bullet,Analysis of how aspects of the health promotion campaign reflect action areas of the Ottawa charter.,,,,34
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia's health in a globalised world,VCEHHDU3AS2,Area of Study 2 - Promoting health in Australia,Outcome 2,VCEHHDU3AS2O2KK,DetailedExampleStep,Bullet,Analysis of how aspects of the campaign can lead to improved health outcomes.,,,,35
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4,,,,,UnitHeading,Unit 4 Health and human development in a global context,,,,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4,,,,GeneralActivity,Paragraph,Area of Study 1: Global health and human development,,,,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to analyse similarities and differences in health status and human development globally and analyse the factors that contribute to these differences.",,,,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the first one minute and nine seconds of the United Nations Development Programme video What is human development? Use mind mapping software such as SmartDraw, Visio, Webspiration Classroom, Cmap, Inspiration, MindManager, Mind42, MindMeister Mindomo, or Bubbl.us to record the main ideas about human development.",,,,4
